date_received,queue_name,agent_number,answered,consult,transfer,hangup,call_type
2014-03-01 15:41:55,30179,6985.0,2014-03-01 15:41:56,NULL,NULL,2014-03-01 15:43:02,9
2014-03-01 15:47:39,30175,6985.0,2014-03-01 15:47:40,NULL,NULL,2014-03-01 15:49:32,5
2014-03-01 15:48:05,30560,7819.0,2014-03-01 15:48:29,NULL,NULL,2014-03-01 15:56:22,20
2014-03-01 15:48:15,30175,6985.0,2014-03-01 15:49:34,NULL,NULL,2014-03-01 15:54:44,5
2014-03-01 15:49:21,30175,8077.0,2014-03-01 15:49:47,NULL,NULL,2014-03-01 15:54:32,5
2014-03-01 15:52:26,30175,8077.0,2014-03-01 15:54:38,NULL,NULL,2014-03-01 15:58:30,5
2014-03-01 15:58:34,30175,6985.0,2014-03-01 15:58:35,NULL,NULL,2014-03-01 16:05:07,5
2014-03-01 16:00:37,30175,6971.0,2014-03-01 16:03:50,NULL,NULL,2014-03-01 16:04:09,5
2014-03-01 16:08:42,30175,6971.0,2014-03-01 16:08:43,NULL,NULL,2014-03-01 16:11:01,5
2014-03-01 16:10:30,30172,6985.0,2014-03-01 16:11:35,2014-03-01 16:13:05,2014-03-01 16:14:06,2014-03-01 16:22:01,2
2014-03-01 16:17:22,30175,6971.0,2014-03-01 16:17:23,NULL,NULL,2014-03-01 16:19:26,5
2014-03-01 16:21:24,30175,6985.0,2014-03-01 16:21:25,NULL,NULL,2014-03-01 16:22:42,5
2014-03-01 16:23:37,30175,6971.0,2014-03-01 16:23:38,NULL,NULL,2014-03-01 16:24:36,5
2014-03-01 16:25:54,30175,6985.0,2014-03-01 16:25:55,NULL,NULL,2014-03-01 16:31:17,5
2014-03-01 16:27:33,30172,6971.0,2014-03-01 16:27:34,NULL,NULL,2014-03-01 16:36:48,2
2014-03-01 16:27:55,30175,6985.0,2014-03-01 16:31:19,NULL,NULL,2014-03-01 16:40:55,5
2014-03-01 16:28:41,30172,NULL,NULL,NULL,NULL,2014-03-01 16:29:45,2
2014-03-01 16:32:43,30172,6971.0,2014-03-01 16:36:54,NULL,NULL,2014-03-01 16:41:05,2
2014-03-01 16:33:01,30175,NULL,NULL,NULL,NULL,2014-03-01 16:35:00,5
2014-03-01 16:33:27,30175,6985.0,2014-03-01 16:41:00,2014-03-01 16:41:55,2014-03-01 16:42:40,2014-03-01 16:47:31,5
2014-03-01 16:41:37,30175,6971.0,2014-03-01 16:41:38,NULL,NULL,2014-03-01 16:46:59,5
2014-03-01 16:42:01,30560,6985.0,2014-03-01 16:42:43,NULL,NULL,2014-03-01 16:45:57,20
2014-03-01 16:42:06,30175,6985.0,2014-03-01 16:46:01,NULL,NULL,2014-03-01 16:49:02,5
2014-03-01 16:58:09,30175,6971.0,2014-03-01 16:58:10,2014-03-01 17:01:00,2014-03-01 17:01:26,2014-03-01 17:01:34,5
